sample	type	group	R1	R2	library	lane	center
EGAF00002727177	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727177/PGDX3501P7_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727177/PGDX3501P7_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727177	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727177/PGDX3501P7_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727177/PGDX3501P7_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727178	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727178/PGDX3501P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727178/PGDX3501P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727178	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727178/PGDX3501P6_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727178/PGDX3501P6_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727179	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727179/PGDX3501P8_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727179/PGDX3501P8_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727179	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727179/PGDX3501P8_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727179/PGDX3501P8_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727205	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727205/PGDX3501P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727205/PGDX3501P5_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727205	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727205/PGDX3501P5_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727205/PGDX3501P5_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727206	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727206/PGDX3502P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727206/PGDX3502P5_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727206	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727206/PGDX3502P5_WGS_R1.fastq.gz	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727206/PGDX3502P5_WGS_R2.fastq.gz	LIB1	L001	CENTER1
EGAF00002727207	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727207/PGDX3502P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727207/PGDX3502P6_WGS_R2.fastq	LIB1	L001	CENTER1
